slang,formal
gak,tidak
ga,tidak
ngga,tidak
nggak,tidak
enggak,tidak
tdk,tidak
tak,tidak
bgt,sangat
banget,sangat
amat,sangat
yg,yang
dg,dengan
dgn,dengan
dr,dari
utk,untuk
buat,untuk
krn,karena
karna,karena
krena,karena
sbg,sebagai
sbgai,sebagai
pd,pada
tp,tetapi
tapi,tetapi
ttg,tentang
thd,terhadap
thdp,terhadap
kpd,kepada
dlm,dalam
tsb,tersebut
spy,supaya
sdh,sudah
udah,sudah
udh,sudah
blm,belum
belom,belum
skrg,sekarang
skrang,sekarang
kmrn,kemarin
bsk,besok
ntar,nanti
thn,tahun
bln,bulan
mgg,minggu
tgl,tanggal
trs,terus
trus,terus
bs,bisa
hrs,harus
msh,masih
masi,masih
jd,jadi
sm,sama
pst,pasti
psti,pasti
klo,kalau
kalo,kalau
kaya,seperti
kayak,seperti
kayaknya,sepertinya
gimana,bagaimana
gmn,bagaimana
gmna,bagaimana
kenapa,mengapa
knp,mengapa
bikin,membuat
ngerti,mengerti
pake,menggunakan
nyoba,mencoba
ngomong,berbicara
bilang,mengatakan
liat,melihat
dapet,mendapat
nyari,mencari
kerjain,mengerjakan
mikir,berpikir
nunggu,menunggu
balik,kembali
org,orang
orng,orang
punya,memiliki
nih,ini
tuh,itu
sih,
deh,
dong,
lho,
lah,
mah,
kan,
aja,saja
doang,saja
cuma,hanya
cman,hanya
emang,memang
emg,memang
beneran,benar
bener,benar
bnr,benar
susah,sulit
gampang,mudah
jt,juta
rb,ribu
dll,dan lain lain
dsb,dan sebagainya
dst,dan seterusnya
yuk,ayo
makanya,maka
makasih,terima kasih
dikit,sedikit
sdkt,sedikit
bnyk,banyak
ttd,tanda tangan
